TAX CLASS AT PRESENT,ZIP CODE,RESIDENTIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,10457,1.0,1.0,1842.0,2048.0,1901.0,1,0,2021-01-20
1,10457,1.0,1.0,1842.0,2048.0,1901.0,1,600000,2021-01-15
1,10457,1.0,1.0,1568.0,1526.0,1899.0,1,0,2020-07-09
1,10457,1.0,1.0,1646.0,1495.0,1899.0,1,475000,2020-07-23
1,10457,1.0,1.0,2340.0,1516.0,1910.0,1,289000,2020-08-25
1,10457,2.0,2.0,2329.0,1431.0,1901.0,1,526000,2020-09-22
1,10457,2.0,2.0,2000.0,2400.0,1993.0,1,0,2020-06-24
1,10456,2.0,2.0,1900.0,2394.0,1994.0,1,0,2020-08-27
1,10457,2.0,2.0,2883.0,2394.0,1995.0,1,0,2020-04-06
1,10457,2.0,2.0,2000.0,2364.0,1899.0,1,734000,2020-04-22
1,10457,2.0,2.0,2910.0,3240.0,1998.0,1,0,2020-08-24
1,10457,2.0,2.0,1144.0,2889.0,1899.0,1,15000,2021-02-03
1,10457,2.0,2.0,2275.0,1548.0,1899.0,1,0,2021-02-03
1,10457,2.0,2.0,1826.0,1296.0,1899.0,1,455000,2020-07-09
1,10458,2.0,2.0,2000.0,2060.0,1901.0,1,385000,2021-02-16
1,10458,2.0,3.0,2467.0,1900.0,1910.0,1,412500,2020-12-09
1,10457,2.0,2.0,1429.0,1872.0,1910.0,1,600000,2021-03-12
1,10457,2.0,2.0,1907.0,2901.0,2000.0,1,625000,2020-09-03
1,10457,2.0,2.0,2500.0,1404.0,1901.0,1,629000,2020-04-24
1,10457,2.0,2.0,2018.0,1562.0,1901.0,1,0,2021-02-04
1,10457,2.0,2.0,1960.0,2278.0,1901.0,1,0,2020-06-26
1,10458,2.0,2.0,1380.0,2805.0,1901.0,1,0,2020-10-22
1,10458,2.0,2.0,1380.0,2805.0,1901.0,1,0,2021-01-25
1,10458,2.0,2.0,2085.0,3374.0,1901.0,1,750000,2020-10-09
1,10458,2.0,2.0,1169.0,1836.0,1901.0,1,404586,2020-12-31
1,10457,3.0,3.0,1440.0,2880.0,1899.0,1,0,2020-08-12
1,10457,3.0,3.0,1440.0,2880.0,1899.0,1,0,2020-06-03
1,10458,3.0,3.0,1650.0,1344.0,1910.0,1,325000,2020-07-20
1,10458,3.0,3.0,1638.0,3240.0,2007.0,1,920000,2021-01-07
1,10458,3.0,3.0,1650.0,1776.0,1910.0,1,480000,2020-07-09
1,10457,3.0,3.0,1995.0,2901.0,2000.0,1,0,2020-10-14
1,10457,3.0,3.0,1995.0,2901.0,2000.0,1,810000,2020-10-22
1,10457,3.0,3.0,1895.0,2679.0,1901.0,1,0,2021-01-08
1,10457,3.0,3.0,1562.0,3168.0,1901.0,1,899500,2020-07-02
2B,10458,8.0,8.0,3798.0,8976.0,1910.0,2,638750,2020-11-13
2,10458,24.0,26.0,5050.0,20365.0,1911.0,2,3200000,2020-11-25
2,10457,46.0,46.0,12598.0,56700.0,2005.0,2,5000000,2020-10-02
2,10458,70.0,70.0,20000.0,80658.0,2004.0,2,18418,2021-02-03
2,10457,52.0,52.0,36266.0,41638.0,2018.0,2,0,2020-12-16
2,10457,137.0,137.0,26266.0,92073.0,2018.0,2,0,2020-12-16
2A,10457,4.0,6.0,2500.0,6000.0,1931.0,2,1500000,2020-09-15
4,10457,3.0,5.0,4562.0,4925.0,1931.0,4,0,2020-07-10
4,10458,1.0,2.0,1304.0,2500.0,1931.0,4,0,2020-10-22
4,10458,0.0,0.0,5000.0,0.0,1995.0,4,0,2021-03-24
4,10458,0.0,1.0,5490.0,4984.0,1912.0,4,1170000,2020-12-31
4,10458,0.0,1.0,5000.0,1500.0,1995.0,4,1120000,2020-05-06
4,10458,0.0,1.0,4500.0,9000.0,1931.0,4,0,2020-04-27
4,10457,0.0,1.0,8335.0,55200.0,1931.0,4,10,2020-07-31
4,10457,0.0,1.0,10713.0,440.0,1989.0,4,10,2020-07-31
1,10469,1.0,1.0,2250.0,1920.0,1950.0,1,386000,2021-03-17
1,10469,1.0,1.0,2250.0,1920.0,1950.0,1,0,2020-11-12
1,10469,1.0,1.0,1914.0,1386.0,1950.0,1,426400,2020-07-02
1,10469,1.0,1.0,1786.0,1018.0,1945.0,1,474900,2020-04-20
1,10469,1.0,1.0,2000.0,1140.0,1945.0,1,338000,2021-03-19
1,10469,1.0,1.0,2000.0,1140.0,1945.0,1,365946,2020-07-22
1,10469,1.0,1.0,2233.0,1637.0,1945.0,1,519000,2020-05-29
1,10469,1.0,1.0,1710.0,1813.0,1945.0,1,482000,2020-07-07
1,10469,1.0,1.0,1710.0,1890.0,1945.0,1,310000,2020-10-23
1,10469,1.0,1.0,1710.0,1732.0,1945.0,1,0,2020-12-08
1,10469,1.0,1.0,1710.0,1890.0,1945.0,1,500000,2021-03-01
1,10469,1.0,1.0,1710.0,1701.0,1950.0,1,0,2020-12-15
1,10469,1.0,1.0,3843.0,1216.0,1910.0,1,480000,2020-04-21
1,10469,1.0,1.0,1879.0,1900.0,1950.0,1,0,2020-12-21
1,10469,1.0,1.0,1710.0,1690.0,1945.0,1,25000,2021-02-12
1,10469,1.0,1.0,1900.0,1254.0,1940.0,1,0,2020-10-15
1,10469,1.0,1.0,2450.0,1977.0,1940.0,1,487500,2020-12-14
1,10469,1.0,1.0,1900.0,1938.0,1940.0,1,440000,2020-10-22
1,10469,1.0,1.0,1900.0,1738.0,1940.0,1,506000,2020-04-03
1,10469,1.0,1.0,2000.0,2230.0,1950.0,1,470000,2020-06-30
1,10469,1.0,1.0,2300.0,1681.0,1940.0,1,0,2020-04-29
1,10469,1.0,1.0,1900.0,1567.0,1940.0,1,297500,2021-03-11
1,10469,1.0,1.0,1887.0,1280.0,1955.0,1,0,2020-06-10
1,10469,1.0,1.0,1739.0,1280.0,1955.0,1,474000,2020-07-24
1,10469,1.0,1.0,1900.0,1795.0,1935.0,1,525000,2021-01-25
1,10469,1.0,1.0,1858.0,1260.0,1935.0,1,0,2020-06-10
1,10469,1.0,1.0,2500.0,1748.0,1930.0,1,559500,2020-11-24
1,10469,1.0,1.0,2500.0,1742.0,1930.0,1,250000,2020-05-21
1,10469,1.0,1.0,2000.0,1400.0,1940.0,1,1135173,2020-09-08
1,10469,1.0,1.0,2000.0,2220.0,1950.0,1,367000,2020-06-09
1,10469,1.0,1.0,2500.0,1736.0,1935.0,1,0,2020-11-14
1,10469,1.0,1.0,1600.0,1536.0,1945.0,1,0,2020-04-22
1,10469,1.0,1.0,2050.0,1408.0,1920.0,1,490000,2020-07-31
1,10469,1.0,1.0,2050.0,1328.0,1920.0,1,590000,2020-10-29
1,10469,1.0,1.0,2050.0,1408.0,1920.0,1,527000,2020-04-07
1,10469,1.0,1.0,1800.0,1260.0,1950.0,1,432000,2020-07-14
1,10469,1.0,1.0,2300.0,2568.0,1950.0,1,0,2021-03-24
1,10469,1.0,1.0,1710.0,1863.0,1950.0,1,0,2021-01-25
1,10469,1.0,1.0,2701.0,1096.0,1910.0,1,0,2021-01-29
1,10469,1.0,1.0,1800.0,1260.0,1950.0,1,462470,2020-10-01
1,10469,1.0,1.0,1800.0,1260.0,1950.0,1,475000,2020-10-28
1,10469,1.0,1.0,1710.0,1260.0,1955.0,1,0,2020-10-08
1,10469,1.0,1.0,2982.0,1283.0,1901.0,1,620000,2020-11-18
1,10469,1.0,1.0,2161.0,1687.0,1965.0,1,525000,2021-01-22
1,10469,1.0,1.0,1710.0,1714.0,1955.0,1,455000,2021-01-06
1,10469,1.0,1.0,1710.0,1539.0,1950.0,1,522900,2021-01-14
1,10469,1.0,1.0,1710.0,1890.0,1950.0,1,440000,2020-06-16
1,10469,1.0,1.0,2328.0,1890.0,1950.0,1,525000,2020-06-19
1,10469,1.0,1.0,2090.0,948.0,1960.0,1,485000,2020-07-17
1,10469,1.0,1.0,5000.0,1602.0,1935.0,1,100000,2020-10-08
1,10469,1.0,1.0,2045.0,623.0,1930.0,1,280000,2020-12-15
1,10469,1.0,1.0,3511.0,2109.0,1920.0,1,630000,2020-11-09
1,10469,1.0,1.0,2500.0,1956.0,1920.0,1,0,2020-12-17
1,10469,1.0,1.0,2890.0,1890.0,1955.0,1,0,2020-08-27
1,10469,1.0,1.0,2890.0,1890.0,1955.0,1,181945,2020-07-28
1,10469,1.0,1.0,2708.0,1690.0,1955.0,1,545000,2020-11-24
1,10469,1.0,1.0,3745.0,1768.0,1964.0,1,520000,2021-02-19
1,10469,1.0,1.0,1710.0,1690.0,1950.0,1,0,2020-11-09
1,10469,1.0,1.0,2890.0,1890.0,1960.0,1,525000,2020-04-14
1,10469,1.0,1.0,2653.0,1362.0,1960.0,1,529000,2020-05-28
1,10469,1.0,1.0,2653.0,1260.0,1960.0,1,0,2021-01-13
1,10469,1.0,1.0,1723.0,1116.0,1955.0,1,565000,2020-08-13
1,10469,1.0,1.0,1723.0,1674.0,1955.0,1,510000,2021-02-05
1,10469,1.0,1.0,1895.0,1280.0,1955.0,1,540000,2020-11-30
1,10469,1.0,1.0,3132.0,665.0,1925.0,1,0,2020-07-24
1,10469,1.0,1.0,4750.0,1844.0,1925.0,1,630000,2020-07-31
1,10469,1.0,1.0,1706.0,1732.0,1965.0,1,490000,2020-05-01
1,10469,1.0,1.0,1615.0,1360.0,1901.0,1,415000,2020-09-18
1,10469,1.0,1.0,4750.0,1339.0,1930.0,1,585000,2020-06-26
1,10469,1.0,1.0,3555.0,1700.0,1899.0,1,360000,2020-06-30
1,10469,1.0,1.0,3555.0,1700.0,1899.0,1,925000,2021-03-16
1,10469,1.0,1.0,2375.0,1300.0,1925.0,1,529000,2020-06-30
1,10469,1.0,1.0,2375.0,703.0,1930.0,1,0,2021-03-11
1,10469,1.0,1.0,2500.0,1440.0,1925.0,1,560000,2020-08-21
1,10466,1.0,1.0,1600.0,960.0,1950.0,1,0,2021-02-11
1,10466,1.0,1.0,4322.0,1200.0,1940.0,1,365000,2020-12-30
1,10466,1.0,1.0,2100.0,1815.0,1960.0,1,0,2020-09-09
1,10466,1.0,1.0,2500.0,1131.0,1925.0,1,450000,2020-12-23
1,10466,1.0,1.0,5017.0,1112.0,1947.0,1,0,2020-09-25
1,10466,1.0,1.0,4000.0,1248.0,1920.0,1,0,2021-03-09
1,10466,1.0,1.0,2900.0,1300.0,1920.0,1,0,2021-03-19
1,10466,1.0,1.0,3392.0,1276.0,1958.0,1,0,2020-07-16
1,10466,1.0,1.0,1530.0,1188.0,1941.0,1,436800,2020-04-24
1,10466,1.0,1.0,1800.0,1701.0,1957.0,1,549999,2020-07-30
1,10466,1.0,1.0,2500.0,1443.0,1930.0,1,0,2020-08-28
1,10466,1.0,1.0,2042.0,1701.0,1958.0,1,579000,2020-04-13
1,10466,1.0,1.0,1913.0,1392.0,1963.0,1,327000,2020-06-03
1,10466,1.0,1.0,1913.0,1392.0,1963.0,1,500000,2021-02-25
1,10466,1.0,1.0,4000.0,1630.0,1930.0,1,10,2020-10-23
1,10466,1.0,1.0,2850.0,1120.0,1930.0,1,460000,2021-03-16
1,10466,1.0,1.0,1800.0,1330.0,1925.0,1,385000,2020-08-03
1,10466,1.0,1.0,1805.0,1364.0,1925.0,1,250000,2020-05-27
1,10466,1.0,1.0,2824.0,2032.0,1910.0,1,610000,2021-01-29
1,10466,1.0,1.0,2824.0,2032.0,1910.0,1,0,2021-03-23
1,10466,1.0,1.0,3570.0,1910.0,1925.0,1,300000,2021-03-04
1,10466,1.0,1.0,1710.0,1116.0,1959.0,1,445000,2020-10-30
1,10466,1.0,1.0,1710.0,1116.0,1959.0,1,456750,2020-09-03
1,10466,1.0,1.0,1366.0,1744.0,1960.0,1,0,2020-07-15
1,10466,1.0,1.0,4750.0,1771.0,1953.0,1,464000,2021-02-08
1,10466,1.0,1.0,2500.0,1512.0,1931.0,1,0,2020-07-27
1,10466,1.0,1.0,2625.0,1802.0,1950.0,1,526000,2020-07-16
1,10466,1.0,1.0,3499.0,1146.0,1930.0,1,540000,2021-03-03
1,10466,1.0,1.0,6827.0,2339.0,1959.0,1,180250,2021-01-12
1,10466,1.0,1.0,2375.0,1224.0,1910.0,1,475000,2020-04-30
1,10466,1.0,1.0,4141.0,1960.0,1951.0,1,0,2021-02-04
