TAX CLASS AT PRESENT,ZIP CODE,SALE PRICE,SALE DATE
1,11228.0,1300000,2020-04-28
1,11228.0,75000,2020-11-30
1,11214.0,830000,2020-06-26
1,11214.0,1188000,2020-07-20
1,11214.0,990000,2021-02-22
1,11228.0,870000,2020-10-15
1,11214.0,1250000,2020-12-23
1,11214.0,805000,2020-12-02
1,11214.0,760000,2020-06-29
1,11214.0,800000,2020-07-22
1,11228.0,1059000,2021-03-23
1,11214.0,882000,2021-01-21
1,11214.0,820910,2020-06-24
1,11214.0,740000,2020-11-05
1,11214.0,740000,2020-10-07
1,11214.0,750000,2020-08-26
1,11214.0,725000,2021-02-23
1,11214.0,800000,2020-08-07
1,11214.0,745000,2020-12-11
1,11228.0,995000,2020-12-01
1,11228.0,1280000,2020-08-18
1,11228.0,1210000,2021-01-14
1,11228.0,989000,2020-09-10
1,11228.0,1256000,2021-02-05
1,11228.0,825000,2020-05-27
1,11228.0,990000,2020-12-02
1,11228.0,1368000,2020-12-11
1,11228.0,1100000,2020-12-01
1,11214.0,730000,2020-12-21
1,11214.0,60000,2020-05-21
1,11214.0,1085000,2021-02-10
1,11214.0,1400000,2020-07-30
1,11214.0,600000,2020-12-30
1,11214.0,930000,2021-01-28
1,11214.0,1060000,2021-01-13
1,11214.0,950000,2020-05-22
1,11214.0,1700000,2021-03-08
1,11214.0,1300000,2020-07-31
1,11214.0,1338000,2021-01-15
1,11228.0,1030000,2020-11-25
1,11228.0,950000,2020-07-30
1,11228.0,1250000,2020-10-27
1,11228.0,465000,2021-02-23
1,11228.0,875000,2020-10-22
1,11228.0,930000,2020-10-06
1,11214.0,1098000,2020-11-06
1,11214.0,955000,2021-03-19
1,11214.0,700000,2021-02-18
1,11214.0,850000,2021-01-13
1,11214.0,1150000,2021-02-26
1,11214.0,1360000,2021-03-19
1,11228.0,1280000,2021-03-24
1,11228.0,1518000,2021-02-08
1,11214.0,1438000,2021-03-30
1,11214.0,300000,2020-06-10
1,11214.0,845000,2020-08-05
1,11214.0,318783,2020-07-11
1,11214.0,900000,2021-03-03
1,11228.0,1100000,2020-05-21
1,11228.0,880000,2020-09-29
1,11228.0,1148000,2020-07-06
1,11228.0,965000,2021-02-22
1,11228.0,860000,2020-08-18
1,11228.0,1380000,2021-02-04
1,11228.0,905000,2021-03-17
1,11228.0,333000,2020-09-09
1,11214.0,1160000,2021-03-05
1,11214.0,900000,2021-01-28
1,11214.0,1190000,2020-08-14
1,11214.0,860000,2020-06-09
1,11214.0,975000,2021-01-05
1,11214.0,770000,2020-10-09
1,11214.0,960000,2020-04-22
1,11214.0,100000,2020-12-31
1,11214.0,950000,2020-11-18
1,11214.0,156000,2020-12-16
1,11214.0,935000,2020-11-25
1,11214.0,850000,2020-06-15
1,11228.0,1050000,2020-07-03
1,11214.0,1780000,2021-03-12
1,11214.0,1360168,2020-12-30
1,11214.0,1530000,2020-08-26
1,11214.0,1800000,2021-03-17
1,11214.0,1200000,2020-12-30
1,11214.0,1998068,2020-09-02
1,11214.0,2240150,2021-03-10
1,11214.0,2035482,2020-08-21
1,11214.0,2117960,2020-09-28
1,11228.0,1380000,2020-07-29
1,11214.0,1836000,2020-08-13
1,11214.0,970000,2020-12-17
1A,11214.0,720000,2020-10-22
1A,11214.0,728049,2020-05-08
1A,11214.0,888932,2020-06-10
1A,11214.0,768779,2020-06-04
1A,11214.0,741286,2020-05-04
1A,11214.0,881063,2020-06-01
1A,11228.0,642500,2020-06-26
1B,11228.0,1380000,2021-02-04
2A,11214.0,1300000,2020-07-22
2A,11214.0,1260000,2020-04-30
2,11214.0,1950000,2020-12-09
2,11214.0,20000000,2020-07-23
2,11214.0,382000,2020-11-09
2,11214.0,420000,2020-10-09
2,11214.0,395000,2021-03-18
2,11214.0,260000,2020-07-21
2,11214.0,320000,2020-11-18
2,11214.0,370000,2021-03-22
2,11228.0,211625,2020-12-23
2,11228.0,265000,2021-01-19
2,11228.0,300000,2020-06-08
2,11228.0,290000,2021-01-29
2,11228.0,270000,2020-04-02
2,11228.0,285000,2021-03-17
2,11228.0,340000,2020-09-24
2,11228.0,435000,2020-08-26
2,11228.0,455000,2020-05-13
2,11228.0,389000,2020-05-21
2,11214.0,380000,2020-12-07
2,11214.0,350000,2020-10-22
2,11214.0,430000,2020-10-30
1A,11214.0,784053,2020-04-30
2,11228.0,675000,2020-09-30
2,11214.0,520000,2020-07-30
2A,11228.0,1550000,2020-12-01
2C,11214.0,520000,2020-11-04
2C,11214.0,725000,2021-01-04
2C,11214.0,596000,2021-02-11
2C,11214.0,725000,2021-01-04
2,11214.0,150000,2020-07-01
2,11214.0,210000,2021-03-09
4,11214.0,3300000,2020-06-25
4,11214.0,1230000,2020-10-30
4,11214.0,1260000,2021-03-08
4,11214.0,2000000,2020-07-16
4,11214.0,980000,2020-09-16
4,11214.0,1365000,2020-09-16
4,11214.0,835000,2020-09-03
4,11214.0,4900000,2020-12-23
4,11214.0,304200,2021-03-18
4,11214.0,881063,2020-06-01
4,11214.0,741286,2020-05-04
4,11214.0,768779,2020-06-04
4,11214.0,784053,2020-04-30
4,11214.0,728049,2020-05-08
4,11214.0,888932,2020-06-10
1,11220.0,825000,2020-04-13
1,11220.0,350000,2020-09-23
1,11220.0,700000,2020-09-15
1,11220.0,953000,2020-10-23
1,11220.0,1200000,2020-10-26
1,11220.0,975000,2020-04-28
1,11220.0,1260000,2021-03-12
1,11220.0,980000,2020-10-26
1,11220.0,939000,2021-03-02
1,11220.0,970000,2020-11-20
1,11220.0,810000,2020-12-31
1,11220.0,770000,2021-03-12
1,11220.0,820000,2021-03-04
1,11220.0,1125000,2020-06-17
1,11220.0,975000,2020-07-07
1,11220.0,740000,2020-12-02
1,11209.0,1300000,2021-02-22
1,11209.0,1650000,2020-12-29
1,11209.0,1100000,2020-11-13
1,11209.0,1190000,2020-06-04
1,11220.0,940000,2020-11-10
1,11209.0,1125000,2020-11-02
1,11209.0,950000,2020-09-18
1,11209.0,955000,2020-06-30
1,11209.0,400000,2020-09-04
1,11209.0,1600000,2021-02-18
1,11209.0,803000,2020-05-06
1,11228.0,800000,2021-01-28
1,11209.0,1100000,2020-10-22
1,11209.0,1500000,2021-03-24
1,11209.0,980000,2020-04-28
1,11209.0,1495000,2020-12-08
1,11209.0,660000,2020-07-23
1,11209.0,1350000,2021-01-11
1,11209.0,1090000,2020-05-27
1,11209.0,990000,2020-05-29
1,11209.0,1125000,2020-12-10
1,11209.0,995000,2020-11-10
1,11209.0,1215000,2020-04-30
1,11209.0,1135000,2020-11-30
1,11209.0,1885000,2020-07-08
1,11209.0,1225000,2020-08-14
1,11209.0,133906,2020-07-30
1,11209.0,1100000,2021-01-11
1,11209.0,1450000,2021-01-28
1,11209.0,1365000,2021-01-27
1,11209.0,1360000,2020-10-16
1,11209.0,1150000,2020-06-09
1,11209.0,1155000,2020-10-28
1,11209.0,1700000,2020-12-23
1,11209.0,1125000,2020-12-22
1,11209.0,950000,2021-03-03
1,11209.0,1443000,2020-11-03
1,11209.0,1125000,2020-11-19
1,11209.0,960000,2020-05-20
1,11209.0,1120000,2021-01-25
1,11209.0,1350000,2021-03-12
1,11209.0,1100000,2020-10-30
1,11209.0,960000,2020-06-30
1,11209.0,1100000,2020-07-29
1,11209.0,999999,2020-07-21
1,11209.0,1400000,2020-09-25
1,11209.0,3250000,2020-08-14
1,11209.0,1200000,2020-07-01
1,11209.0,1800000,2021-03-12
1,11209.0,935000,2021-01-29
1,11209.0,2750000,2020-12-03
1,11209.0,1399993,2021-02-25
1,11209.0,999999,2021-01-14
1,11209.0,1050000,2021-03-05
1,11209.0,50000,2020-04-16
1,11209.0,2097000,2020-12-23
1,11209.0,394000,2020-12-08
1,11209.0,1398000,2020-05-07
1,11209.0,845000,2021-03-31
1,11209.0,3150000,2020-10-20
1,11209.0,1890000,2021-03-15
1,11209.0,1015704,2021-02-23
1,11209.0,1270267,2021-03-10
1,11209.0,2400000,2020-10-16
1,11209.0,1315000,2020-11-30
1,11209.0,1400000,2020-05-26
1,11209.0,950000,2020-10-27
1,11209.0,975000,2020-12-10
1,11228.0,1100000,2020-06-10
1,11228.0,1150000,2021-02-16
1,11209.0,1600000,2020-11-06
1,11209.0,1550000,2020-10-26
1,11209.0,1470000,2020-08-28
1,11209.0,1555000,2020-11-12
1,11209.0,1075000,2021-02-18
1,11209.0,890000,2020-10-16
1,11209.0,994000,2021-02-19
1,11209.0,915000,2020-04-03
1,11209.0,1270000,2021-02-11
1,11209.0,999000,2020-04-24
1,11209.0,868000,2021-01-19
1,11209.0,1199000,2020-05-29
1,11209.0,1138200,2021-02-18
1,11209.0,1150000,2020-12-10
1,11209.0,730000,2020-07-22
1,11209.0,795000,2021-03-18
1,11209.0,950000,2021-03-09
1,11209.0,780000,2020-07-24
1,11209.0,925000,2021-02-17
1,11209.0,965000,2020-05-21
1,11209.0,1100000,2021-02-26
1,11209.0,918000,2021-03-08
1,11209.0,995000,2021-01-14
1,11209.0,1100000,2020-10-26
1,11209.0,997000,2020-09-14
1,11209.0,998000,2021-01-14
1,11228.0,870000,2021-01-05
1,11220.0,1170000,2021-03-02
1,11220.0,550000,2020-12-30
1,11220.0,1250000,2020-10-27
1,11220.0,950000,2020-06-19
1,11220.0,1330000,2020-06-22
1,11220.0,1100000,2020-09-03
1,11220.0,1200000,2020-08-13
1,11220.0,1265000,2021-03-03
1,11220.0,1350000,2021-01-19
1,11220.0,990000,2021-03-17
1,11220.0,1210000,2021-02-09
1,11220.0,950000,2020-07-13
1,11209.0,998000,2020-08-27
1,11209.0,1200000,2020-12-03
1,11209.0,1050000,2020-09-08
1,11220.0,1095000,2020-12-21
1,11209.0,1425000,2020-12-30
1,11220.0,1150000,2021-02-25
1,11209.0,750000,2021-02-22
1,11209.0,1400000,2021-03-02
1,11209.0,1170000,2021-02-26
1,11209.0,999000,2020-12-29
1,11209.0,1199000,2020-06-23
1,11209.0,1220000,2020-06-16
1,11228.0,350000,2020-09-10
1,11228.0,1500000,2020-11-23
1,11228.0,1399800,2020-12-22
1,11228.0,1045000,2021-03-03
1,11209.0,1200000,2020-10-28
1,11209.0,1150000,2020-09-02
1,11209.0,1080000,2020-10-29
1,11209.0,367000,2020-11-13
1,11209.0,1325000,2020-09-23
1,11209.0,1368000,2021-02-09
1,11228.0,1375000,2020-11-16
1,11228.0,1275000,2021-02-09
1,11209.0,1485000,2021-03-12
1,11209.0,1115000,2020-10-21
1,11209.0,1300000,2020-09-24
