TAX CLASS AT PRESENT,ZIP CODE,SALE PRICE,SALE DATE
1,10009,2385000,2021-02-09
1,10009,4350000,2020-07-16
2B,10009,3672530,2020-11-24
2,10009,249508,2020-06-03
2B,10009,1250000,2020-06-16
2B,10009,1250000,2020-06-16
2,10009,3425000,2021-02-11
2B,10009,20661,2020-09-01
2B,10009,37189,2020-09-01
2,10009,2500000,2020-06-16
2,10009,3950000,2020-08-24
2A,10009,7000000,2020-10-22
2,10009,2800000,2020-09-09
2,10009,31289811,2020-04-29
2,10009,500000,2020-11-24
2,10009,510000,2020-11-25
2,10009,560000,2020-05-26
2,10009,1350000,2020-06-16
2,10009,1150000,2020-09-22
2,10009,1185000,2021-03-23
2,10009,409000,2021-01-06
2,10009,481000,2020-10-26
2,10009,799000,2020-11-20
2,10009,495000,2021-03-17
2,10009,720000,2020-05-15
2,10009,490000,2020-10-14
2,10009,1424500,2021-01-25
2,10009,700000,2020-11-12
2,10009,590000,2020-07-01
2,10009,999000,2020-09-10
2,10009,1650000,2021-02-16
2,10009,1450000,2020-07-08
2C,10009,438000,2021-03-04
2,10009,359000,2020-05-18
2,10009,340000,2020-11-10
2,10009,625000,2020-09-22
2C,10009,1115000,2021-01-07
2C,10009,450000,2020-04-10
2C,10009,1190000,2020-11-23
2,10009,361000,2021-03-25
2C,10009,1075000,2020-09-22
2,10009,2500,2020-10-26
2,10009,2500,2020-10-26
2,10009,601000,2020-06-11
2,10009,1200000,2020-05-27
2,10009,765000,2020-07-07
2,10009,760000,2021-02-10
2,10009,785000,2021-01-27
2,10009,1797500,2021-02-17
2,10009,1325000,2020-11-23
2,10009,985000,2020-12-22
2,10009,699000,2021-01-19
2,10009,670000,2020-04-01
2,10009,906243,2020-06-26
2,10009,960000,2021-01-20
2,10009,970000,2020-06-17
2,10009,765000,2020-06-24
2,10009,1630000,2020-10-26
2,10009,1900000,2020-12-22
2,10009,835000,2020-08-26
2,10009,1450000,2020-09-10
2,10009,985000,2021-03-30
2,10009,1500000,2020-09-14
2,10009,925000,2020-05-01
2,10009,999000,2021-03-18
2,10002,1400000,2021-02-11
2,10002,1750000,2021-01-21
