TAX CLASS AT PRESENT,ZIP CODE,RESIDENTIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,11370,1.0,1.0,1800.0,1224.0,1945.0,1,584569,2020-08-28
1,11370,1.0,1.0,1800.0,1224.0,1950.0,1,800000,2021-01-11
1,11691,1.0,1.0,2469.0,1476.0,2005.0,1,300000,2020-12-16
1,11691,1.0,1.0,2325.0,1350.0,2005.0,1,360000,2020-06-23
1,11691,1.0,1.0,2470.0,1332.0,2006.0,1,465000,2020-10-07
1,11691,1.0,1.0,5134.0,1224.0,1920.0,1,235000,2020-10-27
1,11691,1.0,1.0,2723.0,1070.0,1920.0,1,0,2020-09-24
1,11691,1.0,1.0,3431.0,971.0,1920.0,1,540000,2020-12-14
1,11691,1.0,1.0,3804.0,926.0,1920.0,1,565000,2020-10-28
1,11691,1.0,1.0,2648.0,1000.0,1920.0,1,0,2020-08-14
1,11691,1.0,1.0,1351.0,1496.0,1920.0,1,0,2021-02-26
1,11691,1.0,1.0,2853.0,1564.0,2004.0,1,0,2021-02-26
1,11691,1.0,1.0,1890.0,612.0,1920.0,1,0,2020-04-23
1,11692,1.0,1.0,2250.0,1530.0,1960.0,1,425000,2020-08-31
1,11692,1.0,1.0,2125.0,1608.0,1960.0,1,448000,2021-02-24
1,11692,1.0,1.0,1350.0,974.0,1930.0,1,350000,2020-12-29
1,11692,1.0,1.0,4400.0,1087.0,1950.0,1,425000,2020-12-06
1,11692,1.0,1.0,2500.0,1925.0,1960.0,1,470000,2020-07-09
1,11692,1.0,1.0,4000.0,2081.0,1950.0,1,0,2020-04-16
1,11692,1.0,1.0,4000.0,2550.0,1950.0,1,0,2020-07-10
1,11692,1.0,1.0,2500.0,1396.0,1965.0,1,505000,2021-02-04
1,11692,1.0,1.0,3000.0,1530.0,1950.0,1,441000,2021-03-04
1,11692,1.0,1.0,4000.0,1793.0,1930.0,1,150000,2020-09-08
1,11692,1.0,1.0,10000.0,2324.0,1970.0,1,515000,2020-10-21
1,11692,1.0,1.0,2250.0,1530.0,1960.0,1,0,2020-12-08
1,11692,1.0,1.0,2000.0,1440.0,2005.0,1,480000,2020-07-06
1,11692,1.0,1.0,2000.0,640.0,1920.0,1,0,2021-02-04
1,11692,1.0,1.0,2000.0,1024.0,1930.0,1,320000,2021-03-02
1,11692,1.0,1.0,2000.0,2176.0,1920.0,1,500000,2020-08-31
1,11692,1.0,1.0,4000.0,1828.0,1920.0,1,235000,2020-08-06
1,11692,1.0,1.0,3000.0,1428.0,1960.0,1,360400,2020-08-12
1,11692,1.0,1.0,4000.0,620.0,1925.0,1,245000,2020-10-29
1,11692,1.0,1.0,4000.0,1952.0,1925.0,1,310000,2020-10-20
1,11692,1.0,1.0,2375.0,1474.0,1960.0,1,460000,2020-05-08
1,11692,1.0,1.0,2000.0,992.0,1930.0,1,230000,2021-03-09
1,11691,2.0,2.0,3806.0,2068.0,2003.0,1,660000,2020-11-13
1,11691,2.0,2.0,3600.0,2068.0,2003.0,1,650000,2020-09-30
1,11691,2.0,2.0,5137.0,1760.0,1920.0,1,350000,2021-01-30
1,11691,2.0,2.0,3376.0,2460.0,2006.0,1,10000,2020-04-23
1,11691,2.0,2.0,3389.0,2460.0,2006.0,1,0,2020-05-12
1,11691,2.0,2.0,6466.0,2082.0,1920.0,1,700000,2021-01-29
1,11691,2.0,2.0,3804.0,1390.0,1925.0,1,414000,2020-12-21
1,11691,2.0,2.0,3804.0,2250.0,1960.0,1,420000,2020-06-03
1,11691,2.0,2.0,3804.0,2250.0,1960.0,1,619000,2021-03-03
1,11691,2.0,2.0,2837.0,1308.0,1920.0,1,0,2020-09-21
1,11691,2.0,2.0,2837.0,1620.0,1931.0,1,0,2020-04-23
1,11691,2.0,2.0,1890.0,2000.0,2006.0,1,0,2021-03-11
1,11692,2.0,2.0,4170.0,2052.0,2000.0,1,635000,2020-07-10
1,11692,2.0,2.0,5687.0,2515.0,2013.0,1,0,2020-08-12
1,11692,2.0,2.0,3210.0,2515.0,2014.0,1,812000,2020-08-20
1,11692,2.0,2.0,2246.0,3018.0,2011.0,1,835000,2020-10-23
1,11692,2.0,2.0,2246.0,3018.0,2010.0,1,0,2020-12-29
1,11692,2.0,2.0,2987.0,2258.0,2012.0,1,0,2020-08-27
1,11692,2.0,2.0,2786.0,2908.0,2012.0,1,0,2021-02-08
1,11692,2.0,2.0,3870.0,3174.0,2011.0,1,0,2020-09-16
1,11692,2.0,2.0,2120.0,3018.0,2014.0,1,995000,2020-12-08
1,11692,2.0,2.0,2120.0,3018.0,2014.0,1,0,2021-02-04
1,11692,2.0,2.0,2447.0,2908.0,2011.0,1,980000,2021-01-26
1,11692,2.0,2.0,3909.0,2908.0,2011.0,1,0,2021-02-12
1,11692,2.0,2.0,3265.0,2258.0,2011.0,1,949000,2020-12-08
1,11692,2.0,2.0,3033.0,2156.0,1918.0,1,10,2020-10-21
1,11692,2.0,2.0,4000.0,2614.0,1925.0,1,400000,2020-08-26
1,11692,2.0,2.0,3267.0,1994.0,1999.0,1,0,2020-09-10
1,11691,2.0,2.0,6498.0,2068.0,2003.0,1,0,2020-05-11
1,11691,2.0,2.0,5062.0,2068.0,2003.0,1,450000,2020-11-10
1,11691,2.0,2.0,3000.0,1728.0,1920.0,1,0,2021-02-26
1,11691,2.0,2.0,5014.0,1204.0,1931.0,1,0,2021-02-22
1,11691,2.0,2.0,1825.0,660.0,2003.0,1,0,2021-02-17
1,11691,2.0,2.0,2558.0,2000.0,2005.0,1,605000,2020-11-25
1,11691,2.0,2.0,4280.0,2592.0,2004.0,1,576500,2020-06-24
1,11691,2.0,2.0,2473.0,1869.0,1960.0,1,0,2020-10-08
1,11691,2.0,2.0,2473.0,1869.0,1960.0,1,650000,2020-08-04
1,11692,2.0,2.0,3179.0,2103.0,2017.0,1,1,2020-12-30
1,11692,2.0,2.0,3267.0,2281.0,2019.0,1,679000,2021-02-02
1,11692,2.0,2.0,3179.0,2284.0,2019.0,1,669000,2020-10-01
1,11692,2.0,2.0,3267.0,2223.0,2019.0,1,732122,2020-04-07
1,11692,2.0,2.0,3400.0,2068.0,1996.0,1,0,2020-11-03
1,11692,2.0,2.0,4000.0,2256.0,1960.0,1,403908,2020-07-01
1,11692,2.0,2.0,3500.0,2150.0,2001.0,1,640000,2021-01-29
1,11692,2.0,2.0,2674.0,1900.0,1965.0,1,0,2020-11-15
1,11692,2.0,2.0,2725.0,1848.0,1960.0,1,0,2020-06-25
1,11692,2.0,2.0,2750.0,2016.0,1960.0,1,631000,2020-04-17
1,11692,2.0,2.0,2500.0,1870.0,2018.0,1,0,2020-10-27
1,11692,2.0,2.0,2950.0,2250.0,1960.0,1,0,2020-04-25
1,11692,2.0,2.0,4000.0,2576.0,1975.0,1,525000,2021-02-18
1,11692,2.0,2.0,4000.0,1868.0,1930.0,1,470000,2020-06-11
1,11692,2.0,2.0,3000.0,1890.0,2004.0,1,0,2020-09-24
1,11692,2.0,2.0,2550.0,1932.0,1940.0,1,326550,2020-06-03
1,11692,2.0,2.0,3500.0,2160.0,1950.0,1,0,2021-01-29
1,11692,2.0,2.0,3500.0,2160.0,1950.0,1,0,2021-03-13
1,11692,2.0,2.0,4000.0,2800.0,1910.0,1,0,2020-06-24
1,11692,2.0,2.0,3000.0,1512.0,1950.0,1,395000,2020-04-22
1,11692,2.0,2.0,2717.0,1890.0,1950.0,1,510000,2020-12-10
1,11692,2.0,2.0,2717.0,2016.0,1940.0,1,649000,2021-02-25
1,11692,2.0,2.0,2717.0,2016.0,1940.0,1,175000,2020-07-13
1,11692,2.0,2.0,2717.0,2578.0,1940.0,1,645000,2020-12-22
1,11692,2.0,2.0,2625.0,2016.0,1940.0,1,508300,2021-03-18
1,11692,2.0,2.0,2000.0,2176.0,1920.0,1,574123,2020-07-10
1,11692,2.0,2.0,2000.0,2176.0,1920.0,1,260925,2021-01-26
1,11692,2.0,2.0,3800.0,2100.0,2002.0,1,335000,2020-06-29
1,11692,2.0,2.0,5000.0,2336.0,1930.0,1,0,2020-10-22
1,11692,2.0,2.0,2500.0,1874.0,2020.0,1,794235,2021-02-10
1,11692,2.0,2.0,2500.0,1874.0,2019.0,1,794235,2021-02-10
1,11692,2.0,2.0,2500.0,1874.0,2019.0,1,794235,2021-02-16
1,11692,2.0,2.0,2500.0,1874.0,2019.0,1,849000,2020-12-31
1,11692,2.0,2.0,4000.0,2600.0,2009.0,1,825000,2020-07-28
1,11692,2.0,2.0,4000.0,2600.0,2009.0,1,825000,2020-07-28
1,11692,2.0,2.0,4000.0,2600.0,2009.0,1,825000,2020-07-28
1,11692,2.0,2.0,4000.0,2600.0,2009.0,1,825000,2020-07-28
1,11692,2.0,2.0,4000.0,2600.0,2009.0,1,825000,2020-07-28
1,11692,2.0,2.0,2600.0,1225.0,1925.0,1,305552,2021-01-19
1,11692,2.0,2.0,2000.0,700.0,1930.0,1,480000,2020-12-22
1,11692,2.0,2.0,3000.0,1332.0,1920.0,1,120000,2020-08-27
1,11692,2.0,2.0,3300.0,2905.0,2004.0,1,910000,2021-01-21
