TAX CLASS AT PRESENT,ZIP CODE,SALE PRICE,SALE DATE
4,11434,4121000,2020-07-16
1,11370,584569,2020-08-28
1,11370,800000,2021-01-11
1,11691,300000,2020-12-16
1,11691,360000,2020-06-23
1,11691,465000,2020-10-07
1,11691,235000,2020-10-27
1,11691,540000,2020-12-14
1,11691,565000,2020-10-28
1,11692,425000,2020-08-31
1,11692,448000,2021-02-24
1,11692,350000,2020-12-29
1,11692,425000,2020-12-06
1,11692,470000,2020-07-09
1,11692,505000,2021-02-04
1,11692,441000,2021-03-04
1,11692,150000,2020-09-08
1,11692,515000,2020-10-21
1,11692,480000,2020-07-06
1,11692,320000,2021-03-02
1,11692,500000,2020-08-31
1,11692,235000,2020-08-06
1,11692,360400,2020-08-12
1,11692,245000,2020-10-29
1,11692,310000,2020-10-20
1,11692,460000,2020-05-08
1,11692,230000,2021-03-09
1,11691,660000,2020-11-13
1,11691,650000,2020-09-30
1,11691,350000,2021-01-30
1,11691,10000,2020-04-23
1,11691,700000,2021-01-29
1,11691,414000,2020-12-21
1,11691,420000,2020-06-03
1,11691,619000,2021-03-03
1,11692,635000,2020-07-10
1,11692,812000,2020-08-20
1,11692,835000,2020-10-23
1,11692,995000,2020-12-08
1,11692,980000,2021-01-26
1,11692,949000,2020-12-08
1,11692,400000,2020-08-26
1,11691,450000,2020-11-10
1,11691,605000,2020-11-25
1,11691,576500,2020-06-24
1,11691,650000,2020-08-04
1,11692,679000,2021-02-02
1,11692,669000,2020-10-01
1,11692,732122,2020-04-07
1,11692,403908,2020-07-01
1,11692,640000,2021-01-29
1,11692,631000,2020-04-17
1,11692,525000,2021-02-18
1,11692,470000,2020-06-11
1,11692,326550,2020-06-03
1,11692,395000,2020-04-22
1,11692,510000,2020-12-10
1,11692,649000,2021-02-25
1,11692,175000,2020-07-13
1,11692,645000,2020-12-22
1,11692,508300,2021-03-18
1,11692,574123,2020-07-10
1,11692,260925,2021-01-26
1,11692,335000,2020-06-29
1,11692,794235,2021-02-10
1,11692,794235,2021-02-10
1,11692,794235,2021-02-16
1,11692,849000,2020-12-31
1,11692,825000,2020-07-28
1,11692,825000,2020-07-28
1,11692,825000,2020-07-28
1,11692,825000,2020-07-28
1,11692,825000,2020-07-28
1,11692,305552,2021-01-19
1,11692,480000,2020-12-22
1,11692,120000,2020-08-27
1,11692,910000,2021-01-21
1,11692,990000,2020-10-21
1,11692,908800,2020-07-27
1,11692,875000,2020-10-28
1,11692,590000,2020-10-29
1,11692,985000,2021-02-10
1,11691,645000,2021-01-14
1,11692,700000,2021-01-28
1,11692,10000,2020-12-31
1,11692,299000,2020-06-22
1A,11692,499999,2020-05-06
1A,11692,510000,2020-09-02
1A,11692,330000,2020-07-31
1A,11692,335000,2020-09-24
1A,11692,520000,2020-12-22
1A,11692,218490,2020-05-27
1A,11692,275000,2020-09-17
1B,11691,150000,2021-03-24
1B,11691,185000,2021-03-23
1B,11691,215000,2021-01-29
1B,11691,100000,2021-01-20
1B,11692,300000,2020-11-25
1B,11691,200000,2020-10-29
1B,11692,400000,2020-10-19
1B,11692,700000,2021-01-28
1B,11692,200000,2021-01-21
1B,11692,200000,2021-01-21
1B,11692,493500,2020-10-09
1B,11692,480000,2020-12-22
1,11691,540000,2020-12-14
2A,11692,660000,2020-12-31
4,11692,1500000,2021-02-23
4,11691,55000,2020-07-13
4,11692,277819,2020-12-22
4,11692,79960,2020-12-22
4,11692,59970,2020-12-22
4,11692,362251,2020-12-22
4,11692,500000,2020-07-13
1,11102,649000,2020-09-09
1,11106,843000,2021-02-18
1,11106,1300000,2020-12-16
1,11103,1550000,2020-11-02
1,11103,850000,2020-07-30
1,11103,1650000,2020-11-19
1,11103,860000,2021-02-10
1,11103,960000,2020-12-01
1,11103,775000,2020-12-18
1,11103,925000,2020-09-14
1,11103,925000,2021-02-25
1,11103,980000,2020-12-21
1,11103,868000,2020-12-08
1,11103,600000,2020-11-19
1,11103,710000,2021-02-19
1,11103,987000,2021-01-19
1,11103,765000,2020-07-29
1,11103,800000,2021-01-27
1,11103,1185500,2020-11-25
1,11105,999000,2020-05-07
1,11105,999999,2021-03-09
1,11105,710000,2021-03-05
