TAX CLASS AT PRESENT,ZIP CODE,SALE PRICE,SALE DATE
1,10457,600000,2021-01-15
1,10457,475000,2020-07-23
1,10457,289000,2020-08-25
1,10457,526000,2020-09-22
1,10457,734000,2020-04-22
1,10457,15000,2021-02-03
1,10457,455000,2020-07-09
1,10458,385000,2021-02-16
1,10458,412500,2020-12-09
1,10457,600000,2021-03-12
1,10457,625000,2020-09-03
1,10457,629000,2020-04-24
1,10458,750000,2020-10-09
1,10458,404586,2020-12-31
1,10458,325000,2020-07-20
1,10458,920000,2021-01-07
1,10458,480000,2020-07-09
1,10457,810000,2020-10-22
1,10457,899500,2020-07-02
1B,10457,80000,2020-07-10
2B,10458,638750,2020-11-13
2,10458,3200000,2020-11-25
2,10457,5000000,2020-10-02
2,10458,18418,2021-02-03
2,10457,638750,2020-11-13
2A,10457,1500000,2020-09-15
4,10457,100000,2020-11-24
4,10458,1170000,2020-12-31
4,10458,1120000,2020-05-06
4,10457,150000,2021-01-08
4,10458,2200000,2020-07-23
1,10469,386000,2021-03-17
1,10469,426400,2020-07-02
1,10469,474900,2020-04-20
1,10469,338000,2021-03-19
1,10469,365946,2020-07-22
1,10469,519000,2020-05-29
1,10469,482000,2020-07-07
1,10469,310000,2020-10-23
1,10469,500000,2021-03-01
1,10469,480000,2020-04-21
1,10469,25000,2021-02-12
1,10469,487500,2020-12-14
1,10469,440000,2020-10-22
1,10469,506000,2020-04-03
1,10469,470000,2020-06-30
1,10469,297500,2021-03-11
1,10469,474000,2020-07-24
1,10469,525000,2021-01-25
1,10469,559500,2020-11-24
1,10469,250000,2020-05-21
1,10469,1135173,2020-09-08
1,10469,367000,2020-06-09
1,10469,490000,2020-07-31
1,10469,590000,2020-10-29
1,10469,527000,2020-04-07
1,10469,432000,2020-07-14
1,10469,462470,2020-10-01
1,10469,475000,2020-10-28
1,10469,620000,2020-11-18
1,10469,525000,2021-01-22
1,10469,455000,2021-01-06
1,10469,522900,2021-01-14
1,10469,440000,2020-06-16
1,10469,525000,2020-06-19
1,10469,485000,2020-07-17
1,10469,100000,2020-10-08
1,10469,280000,2020-12-15
1,10469,630000,2020-11-09
1,10469,181945,2020-07-28
1,10469,545000,2020-11-24
1,10469,520000,2021-02-19
1,10469,525000,2020-04-14
1,10469,529000,2020-05-28
1,10469,565000,2020-08-13
1,10469,510000,2021-02-05
1,10469,540000,2020-11-30
1,10469,630000,2020-07-31
1,10469,490000,2020-05-01
1,10469,415000,2020-09-18
1,10469,585000,2020-06-26
1,10469,360000,2020-06-30
1,10469,925000,2021-03-16
1,10469,529000,2020-06-30
1,10469,560000,2020-08-21
1,10466,365000,2020-12-30
1,10466,450000,2020-12-23
1,10466,436800,2020-04-24
1,10466,549999,2020-07-30
1,10466,579000,2020-04-13
1,10466,327000,2020-06-03
1,10466,500000,2021-02-25
1,10466,460000,2021-03-16
1,10466,385000,2020-08-03
1,10466,250000,2020-05-27
1,10466,610000,2021-01-29
1,10466,300000,2021-03-04
1,10466,445000,2020-10-30
1,10466,456750,2020-09-03
1,10466,464000,2021-02-08
1,10466,526000,2020-07-16
1,10466,540000,2021-03-03
1,10466,180250,2021-01-12
1,10466,475000,2020-04-30
1,10466,205000,2021-01-05
1,10466,247173,2020-08-12
1,10466,375000,2020-06-16
