TAX CLASS AT PRESENT,ZIP CODE,RESIDENTIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,11228.0,1.0,2.0,1933.0,4080.0,1930.0,1,1300000,2020-04-28
1,11228.0,1.0,1.0,1547.0,1428.0,1930.0,1,75000,2020-11-30
1,11228.0,1.0,1.0,2280.0,1052.0,1901.0,1,0,2020-11-04
1,11214.0,1.0,1.0,1571.0,1456.0,1935.0,1,830000,2020-06-26
1,11214.0,1.0,1.0,2417.0,2106.0,1930.0,1,1188000,2020-07-20
1,11214.0,1.0,2.0,1740.0,2124.0,1960.0,1,990000,2021-02-22
1,11228.0,1.0,1.0,1448.0,1280.0,1945.0,1,870000,2020-10-15
1,11214.0,1.0,1.0,3680.0,936.0,1930.0,1,1250000,2020-12-23
1,11214.0,1.0,1.0,1740.0,1382.0,1915.0,1,805000,2020-12-02
1,11214.0,1.0,2.0,3866.0,4870.0,1921.0,1,0,2020-10-14
1,11228.0,1.0,1.0,1800.0,1296.0,1935.0,1,0,2021-01-21
1,11214.0,1.0,1.0,2086.0,1458.0,1910.0,1,0,2020-10-27
1,11214.0,1.0,1.0,1438.0,1568.0,1937.0,1,760000,2020-06-29
1,11214.0,1.0,2.0,755.0,1254.0,1925.0,1,800000,2020-07-22
1,11228.0,1.0,1.0,1933.0,2100.0,1910.0,1,1059000,2021-03-23
1,11214.0,1.0,1.0,1937.0,1240.0,1950.0,1,882000,2021-01-21
1,11214.0,1.0,1.0,1980.0,1188.0,1950.0,1,820910,2020-06-24
1,11214.0,1.0,1.0,1795.0,1152.0,1930.0,1,0,2020-11-10
1,11214.0,1.0,1.0,1795.0,1204.0,1930.0,1,0,2020-11-16
1,11214.0,1.0,1.0,1511.0,928.0,1950.0,1,740000,2020-11-05
1,11214.0,1.0,1.0,2105.0,1240.0,1940.0,1,740000,2020-10-07
1,11214.0,1.0,1.0,1649.0,928.0,1945.0,1,750000,2020-08-26
1,11214.0,1.0,1.0,1649.0,928.0,1945.0,1,725000,2021-02-23
1,11214.0,1.0,1.0,1389.0,992.0,1950.0,1,0,2020-07-10
1,11214.0,1.0,1.0,1551.0,1320.0,1940.0,1,800000,2020-08-07
1,11214.0,1.0,1.0,1783.0,1120.0,1945.0,1,745000,2020-12-11
1,11228.0,1.0,1.0,1740.0,1863.0,1950.0,1,995000,2020-12-01
1,11228.0,2.0,2.0,2320.0,2160.0,1930.0,1,1280000,2020-08-18
1,11228.0,2.0,2.0,2320.0,2160.0,1930.0,1,0,2020-06-02
1,11228.0,2.0,2.0,2320.0,2160.0,1930.0,1,1210000,2021-01-14
1,11228.0,2.0,2.0,2320.0,2160.0,1930.0,1,0,2020-06-26
1,11228.0,2.0,2.0,2320.0,2160.0,1930.0,1,989000,2020-09-10
1,11228.0,2.0,2.0,2320.0,2160.0,1930.0,1,1256000,2021-02-05
1,11228.0,2.0,2.0,2320.0,2160.0,1930.0,1,0,2020-10-07
1,11228.0,2.0,2.0,2320.0,2160.0,1930.0,1,825000,2020-05-27
1,11228.0,2.0,2.0,2320.0,2160.0,1930.0,1,990000,2020-12-02
1,11228.0,2.0,2.0,2320.0,2160.0,1930.0,1,1368000,2020-12-11
1,11228.0,2.0,2.0,2103.0,1622.0,1930.0,1,0,2020-10-26
1,11228.0,2.0,2.0,2103.0,1622.0,1930.0,1,0,2020-07-15
1,11228.0,2.0,2.0,2320.0,2160.0,1930.0,1,1100000,2020-12-01
1,11214.0,2.0,2.0,1380.0,1738.0,1935.0,1,730000,2020-12-21
1,11214.0,2.0,2.0,2753.0,1606.0,1930.0,1,60000,2020-05-21
1,11214.0,2.0,2.0,1933.0,3400.0,1901.0,1,1085000,2021-02-10
1,11214.0,2.0,3.0,2626.0,3600.0,1923.0,1,1400000,2020-07-30
1,11214.0,2.0,2.0,1005.0,1200.0,1930.0,1,600000,2020-12-30
1,11214.0,2.0,2.0,2328.0,1820.0,1950.0,1,930000,2021-01-28
1,11214.0,2.0,2.0,3867.0,3192.0,1930.0,1,1060000,2021-01-13
1,11214.0,2.0,2.0,2522.0,1430.0,1920.0,1,950000,2020-05-22
1,11214.0,2.0,2.0,2417.0,1621.0,1930.0,1,0,2021-01-10
1,11214.0,2.0,2.0,3330.0,2152.0,1960.0,1,0,2020-10-30
1,11214.0,2.0,3.0,4060.0,2819.0,1920.0,1,1700000,2021-03-08
1,11214.0,2.0,2.0,2900.0,2374.0,1930.0,1,1300000,2020-07-31
1,11214.0,2.0,2.0,2900.0,2374.0,1930.0,1,1338000,2021-01-15
1,11214.0,2.0,2.0,2376.0,2560.0,1910.0,1,0,2020-11-29
1,11214.0,2.0,2.0,5800.0,3679.0,1930.0,1,0,2020-12-09
1,11228.0,2.0,2.0,1772.0,1980.0,1945.0,1,1030000,2020-11-25
1,11228.0,2.0,2.0,1933.0,1410.0,1920.0,1,0,2020-09-03
1,11228.0,2.0,2.0,1933.0,2347.0,1940.0,1,950000,2020-07-30
1,11228.0,2.0,2.0,2336.0,2160.0,1940.0,1,1250000,2020-10-27
1,11228.0,2.0,2.0,1933.0,1944.0,1940.0,1,465000,2021-02-23
1,11228.0,2.0,2.0,3253.0,2660.0,1925.0,1,0,2020-11-03
1,11228.0,2.0,2.0,1933.0,1456.0,1899.0,1,875000,2020-10-22
1,11228.0,2.0,2.0,1920.0,1484.0,1955.0,1,930000,2020-10-06
1,11214.0,2.0,2.0,2167.0,2048.0,1930.0,1,1098000,2020-11-06
