TAX CLASS AT PRESENT,ZIP CODE,YEAR BUILT,SALE PRICE,SALE DATE
1,10009,1900.0,2385000,2021-02-09
1,10009,1901.0,0,2020-10-02
1,10009,1899.0,0,2020-10-31
1,10009,1899.0,4350000,2020-07-16
2B,10009,1900.0,0,2020-12-27
2B,10009,1900.0,3672530,2020-11-24
2,10009,1900.0,1,2020-06-26
2,10009,1900.0,249508,2020-06-03
2B,10009,1900.0,1250000,2020-06-16
2B,10009,1900.0,1250000,2020-06-16
2,10009,1910.0,3425000,2021-02-11
2B,10009,1920.0,20661,2020-09-01
2B,10009,1920.0,37189,2020-09-01
2,10009,1910.0,0,2020-10-21
2,10009,1890.0,2500000,2020-06-16
2,10009,1920.0,3950000,2020-08-24
2A,10009,1900.0,7000000,2020-10-22
2,10009,1900.0,0,2020-10-21
2,10009,1900.0,2800000,2020-09-09
2,10009,2019.0,0,2020-05-20
2,10009,2017.0,31289811,2020-04-29
2,10009,1920.0,500000,2020-11-24
2,10009,1928.0,510000,2020-11-25
2,10009,1928.0,560000,2020-05-26
2,10009,1928.0,1350000,2020-06-16
2,10009,1928.0,1150000,2020-09-22
2,10009,2001.0,1185000,2021-03-23
2,10009,1900.0,409000,2021-01-06
2,10009,1900.0,481000,2020-10-26
2,10009,1900.0,799000,2020-11-20
2,10009,1950.0,495000,2021-03-17
2,10009,1920.0,720000,2020-05-15
2,10009,1910.0,490000,2020-10-14
2,10009,1940.0,1424500,2021-01-25
2,10009,1910.0,700000,2020-11-12
2,10009,1910.0,590000,2020-07-01
2,10009,1910.0,999000,2020-09-10
2,10009,1900.0,1650000,2021-02-16
2,10009,1900.0,1450000,2020-07-08
2C,10009,1900.0,438000,2021-03-04
2,10009,1900.0,0,2020-06-02
2,10009,1937.0,359000,2020-05-18
2,10009,1900.0,340000,2020-11-10
2,10009,1937.0,625000,2020-09-22
2C,10009,1900.0,1115000,2021-01-07
2C,10009,1900.0,450000,2020-04-10
2C,10009,1900.0,1190000,2020-11-23
2,10009,1920.0,361000,2021-03-25
2C,10009,1928.0,1075000,2020-09-22
2,10009,1910.0,2500,2020-10-26
2,10009,1910.0,2500,2020-10-26
2,10009,1900.0,601000,2020-06-11
2,10009,1940.0,1200000,2020-05-27
2,10009,1940.0,765000,2020-07-07
2,10009,1940.0,760000,2021-02-10
2,10009,1940.0,785000,2021-01-27
2,10009,2014.0,906243,2020-06-26
2,10009,2014.0,960000,2021-01-20
2,10009,2014.0,970000,2020-06-17
2,10009,2014.0,765000,2020-06-24
2,10009,2008.0,1630000,2020-10-26
2,10009,2008.0,1900000,2020-12-22
2,10009,1928.0,985000,2021-03-30
2,10009,1928.0,1500000,2020-09-14
2,10009,1928.0,925000,2020-05-01
2,10009,1928.0,0,2020-07-29
2,10009,1928.0,0,2020-07-29
2,10009,1910.0,0,2021-02-25
2,10009,1910.0,999000,2021-03-18
2,10009,2014.0,1225000,2021-02-05
2,10009,2014.0,1496828,2021-03-01
2,10009,1965.0,0,2020-08-04
2,10009,1965.0,0,2020-08-04
2,10009,1965.0,0,2020-05-28
2,10009,1965.0,0,2021-03-01
2,10009,1965.0,1544000,2021-03-22
2,10009,2013.0,1600000,2020-07-24
2,10009,2013.0,1450000,2020-08-17
2,10009,2013.0,0,2021-01-19
2C,10009,2003.0,0,2020-06-15
