TAX CLASS AT PRESENT,ZIP CODE,RESIDENTIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,10312.0,1.0,1.0,8000.0,3660.0,1998.0,1,315000,2020-10-02
1,10312.0,1.0,1.0,6200.0,2580.0,1975.0,1,450000,2020-06-24
1,10312.0,1.0,1.0,2500.0,1222.0,1925.0,1,525000,2020-07-02
1,10312.0,1.0,1.0,2243.0,1373.0,1986.0,1,455000,2021-01-21
1,10312.0,1.0,1.0,3989.0,2300.0,2004.0,1,720000,2020-10-15
1,10312.0,1.0,1.0,2475.0,2495.0,1986.0,1,0,2020-12-11
1,10312.0,1.0,1.0,2475.0,2495.0,1986.0,1,0,2020-09-17
1,10312.0,1.0,1.0,1471.0,1172.0,1986.0,1,429000,2020-11-19
1,10312.0,1.0,1.0,2550.0,1825.0,1986.0,1,550000,2020-10-22
1,10312.0,1.0,1.0,2700.0,1320.0,1986.0,1,455500,2020-07-15
1,10312.0,1.0,1.0,2700.0,1500.0,2000.0,1,410670,2020-11-10
1,10312.0,1.0,1.0,2870.0,1500.0,2000.0,1,45000,2021-01-29
1,10312.0,1.0,1.0,1650.0,1548.0,2005.0,1,520000,2020-06-22
1,10312.0,1.0,1.0,1650.0,1548.0,2005.0,1,530000,2020-12-30
1,10312.0,1.0,1.0,1650.0,1548.0,2005.0,1,545000,2020-09-01
1,10312.0,1.0,1.0,4200.0,790.0,1925.0,1,0,2020-08-20
1,10312.0,1.0,1.0,10000.0,2755.0,1955.0,1,940000,2021-01-15
1,10312.0,1.0,1.0,7500.0,800.0,1955.0,1,0,2020-06-08
1,10312.0,1.0,1.0,1333.0,1145.0,1994.0,1,458000,2020-07-07
1,10312.0,1.0,1.0,1333.0,1145.0,1994.0,1,435000,2020-08-20
1,10312.0,1.0,1.0,3700.0,1163.0,1925.0,1,650000,2020-12-17
1,10312.0,1.0,1.0,11830.0,1700.0,2004.0,1,472000,2020-05-29
1,10312.0,1.0,1.0,1650.0,1700.0,2004.0,1,580000,2020-05-01
1,10312.0,1.0,1.0,2678.0,1344.0,2003.0,1,575000,2020-11-06
1,10312.0,1.0,1.0,1648.0,1344.0,2003.0,1,518000,2020-12-07
1,10312.0,1.0,1.0,2400.0,1500.0,2004.0,1,627000,2020-11-16
1,10312.0,1.0,1.0,5200.0,1465.0,1930.0,1,631000,2020-10-01
1,10312.0,1.0,1.0,4000.0,1848.0,1965.0,1,575000,2021-01-08
1,10312.0,1.0,1.0,4000.0,1966.0,1935.0,1,797000,2020-07-01
1,10312.0,1.0,1.0,8000.0,2960.0,1975.0,1,865000,2020-06-15
1,10312.0,1.0,1.0,4000.0,2368.0,2000.0,1,835000,2020-09-17
1,10312.0,1.0,1.0,6000.0,924.0,1940.0,1,480000,2020-06-29
1,10312.0,1.0,1.0,8000.0,2870.0,1975.0,1,929000,2020-09-16
1,10312.0,1.0,1.0,7200.0,1758.0,1930.0,1,0,2020-06-04
1,10312.0,1.0,1.0,6850.0,1300.0,1940.0,1,550000,2020-10-09
1,10312.0,1.0,1.0,7695.0,1040.0,1960.0,1,750000,2020-08-27
1,10312.0,1.0,1.0,4700.0,2560.0,1970.0,1,270000,2020-09-11
1,10312.0,1.0,1.0,4500.0,1008.0,1960.0,1,0,2020-12-16
